OCR,T,P,c
463.67,43.14,1.35,5.31
463.03,43.27,1.36,5.3
463.48,43.17,1.34,5.29
463.2,43.22,1.35,5.29
463.05,43.28,1.35,5.29
463.45,43.18,1.34,5.3
463.2,43.21,1.35,5.29
462.76,43.32,1.35,5.28
463.43,43.19,1.34,5.29
463.37,43.17,1.35,5.29
462.89,43.28,1.35,5.28
463.51,43.17,1.34,5.28
463.64,43.13,1.34,5.28
463.08,43.25,1.35,5.28
463.24,43.23,1.34,5.29
463.47,43.17,1.35,5.29
463.29,43.19,1.35,5.28
463.17,43.23,1.35,5.28
463.67,43.12,1.34,5.28
463.43,43.16,1.35,5.27
463.18,43.24,1.35,5.28
463.56,43.15,1.34,5.28
463.65,43.12,1.35,5.28
463.21,43.22,1.35,5.27
463.47,43.16,1.34,5.28
463.75,43.1,1.34,5.27
463.25,43.18,1.35,5.26
463.33,43.19,1.34,5.27
463.7,43.13,1.34,5.28
463.18,43.19,1.35,5.27
463.08,43.23,1.35,5.27
463.27,43.2,1.34,5.27
463.26,43.2,1.35,5.27
462.86,43.29,1.35,5.27
463.37,43.19,1.34,5.28
463.57,43.14,1.35,5.27
463.02,43.25,1.35,5.27
463.22,43.21,1.34,5.27
463.55,43.14,1.34,5.27
463.09,43.21,1.35,5.26
463.59,43.14,1.34,5.27
463.92,43.05,1.34,5.27
463.27,43.17,1.35,5.26
463.32,43.18,1.34,5.26
463.63,43.11,1.34,5.27
463.43,43.16,1.35,5.26
463,43.27,1.35,5.27
463.31,43.19,1.34,5.27
463.29,43.18,1.35,5.27
462.96,43.27,1.35,5.27
463.3,43.18,1.34,5.27
463.34,43.17,1.35,5.27
463.01,43.26,1.34,5.27
463.45,43.15,1.34,5.27
463.39,43.15,1.34,5.26
463.3,43.18,1.34,5.26
463.56,43.14,1.34,5.27
463.56,43.13,1.35,5.26
463.09,43.23,1.35,5.26
463.43,43.15,1.34,5.26
463.4,43.16,1.35,5.26
462.89,43.25,1.35,5.26
463.2,43.21,1.34,5.26
463.24,43.18,1.34,5.26
462.83,43.27,1.35,5.25
462.9,43.27,1.35,5.26
463.08,43.22,1.34,5.26
463.19,43.18,1.35,5.26
462.96,43.24,1.35,5.25
463.33,43.18,1.34,5.26
463.34,43.16,1.35,5.26
462.92,43.26,1.35,5.26
463.21,43.19,1.34,5.26
463.28,43.16,1.35,5.26
462.78,43.28,1.35,5.25
463.15,43.22,1.34,5.26
463.26,43.18,1.35,5.26
462.89,43.25,1.35,5.25
463.25,43.17,1.34,5.25
463.38,43.15,1.35,5.25
462.84,43.27,1.35,5.26
463.09,43.21,1.34,5.26
463.43,43.13,1.35,5.25
462.71,43.28,1.35,5.24
462.98,43.22,1.34,5.25
463.08,43.21,1.35,5.25
463.01,43.23,1.35,5.25
463.01,43.23,1.34,5.25
463.18,43.19,1.35,5.25
462.66,43.29,1.35,5.25
463.06,43.22,1.34,5.25
463.37,43.15,1.34,5.25
462.87,43.24,1.35,5.24
463.12,43.21,1.34,5.25
463.51,43.11,1.34,5.25
463.15,43.17,1.35,5.24
462.86,43.25,1.35,5.24
463.41,43.13,1.34,5.24
463.42,43.11,1.35,5.24
462.86,43.26,1.35,5.24
463.19,43.19,1.34,5.25
463.64,43.09,1.34,5.24
463.14,43.17,1.35,5.23
463.53,43.11,1.34,5.23
463.58,43.09,1.34,5.23
463.15,43.17,1.35,5.23
463.52,43.11,1.34,5.24
463.75,43.04,1.34,5.24
463.12,43.16,1.35,5.22
463.45,43.12,1.34,5.23
463.69,43.05,1.34,5.23
463.27,43.14,1.35,5.23
462.81,43.25,1.35,5.23
463.28,43.15,1.34,5.24
463.12,43.16,1.35,5.23
462.9,43.24,1.35,5.23
463.31,43.14,1.34,5.24
463.36,43.12,1.35,5.23
462.91,43.22,1.35,5.23
463.11,43.17,1.34,5.23
463.42,43.1,1.34,5.23
462.96,43.19,1.35,5.22
462.92,43.24,1.35,5.23
463.37,43.14,1.34,5.24
463.11,43.17,1.35,5.23
463.06,43.2,1.34,5.23
463.18,43.14,1.35,5.22
463.27,43.16,1.34,5.22
463.43,43.09,1.34,5.23
462.93,43.2,1.35,5.22
463.03,43.22,1.34,5.23
462.89,43.18,1.35,5.22
463.04,43.2,1.34,5.23
463.29,43.14,1.34,5.23
463.36,43.12,1.34,5.23
462.87,43.22,1.35,5.22
463.22,43.17,1.34,5.23
463.46,43.09,1.34,5.23
462.88,43.2,1.35,5.22
463.15,43.17,1.34,5.23
463.44,43.1,1.34,5.22
462.77,43.23,1.35,5.21
463.07,43.18,1.34,5.22
463.33,43.11,1.34,5.22
462.92,43.19,1.35,5.21
462.87,43.2,1.34,5.22
463.19,43.14,1.34,5.22
463.04,43.18,1.35,5.21
462.91,43.21,1.34,5.21
463.27,43.13,1.35,5.22
462.64,43.26,1.35,5.22
463.08,43.18,1.34,5.22
463.32,43.11,1.34,5.22
462.94,43.18,1.35,5.21
463.16,43.15,1.34,5.21
463.29,43.1,1.34,5.21
462.78,43.23,1.35,5.21
463.01,43.2,1.34,5.22
463.2,43.13,1.35,5.21
462.76,43.23,1.35,5.21
463.05,43.18,1.34,5.21
463.44,43.09,1.34,5.21
463.4,43.12,1.34,5.21
463.36,43.09,1.34,5.21
463.01,43.18,1.34,5.2
462.92,43.2,1.34,5.21
463.28,43.11,1.34,5.21
462.93,43.19,1.35,5.2
462.9,43.2,1.34,5.21
